Name,Genres,Popularity,Followers,Artist_URI
Spite,"deathcore, downtempo deathcore, melodic metalcore, progressive deathcore",43,105808,spotify:artist:2DynE7m1BMVl4hQMvCXXq0
Cattle Decapitation,"american grindcore, brutal death metal, death metal, deathcore, deathgrind, goregrind, grindcore, technical death metal, technical grindcore",45,215127,spotify:artist:67ZMMtA88DDO0gTuRrzGjn
Bleed From Within,"deathcore, melodic deathcore, melodic metalcore, metalcore, scottish metal, uk metalcore",47,166795,spotify:artist:5ZvwJikDgdP1PFU4PkAPVG
The Browning,"deathcore, deathstep, melodic metalcore, metalcore, trancecore",44,143792,spotify:artist:4DSNcg40nf6T3eNAObq1Lo
Orbit Culture,"melodic death metal, swedish melodeath",47,113588,spotify:artist:7k29FbDq69ju2fe6zTskxY
Norma Jean,"american metalcore, christian hardcore, christian metal, deathcore, melodic metalcore, metalcore, post-hardcore, screamo",42,184368,spotify:artist:55b0Gfm53udtGBs8mmNXrH
Darko US,"deathcore, melodic metalcore",43,77968,spotify:artist:7C6FTHcdowgX4dzKUd678K
Dimmu Borgir,"black metal, gothic metal, melodic death metal, metal, norwegian black metal, norwegian metal, power metal, speed metal, symphonic black metal, symphonic metal, viking metal",49,490326,spotify:artist:6e8ISIsI7UQZPyEorefAhK
Behemoth,"black metal, death metal, groove metal, metal, pagan black metal, polish black metal, polish death metal, polish metal",48,588639,spotify:artist:1MK0sGeyTNkbefYGj673e9
Carcass,"british death metal, british grindcore, death 'n' roll, death metal, deathgrind, goregrind, melodic death metal, metal, speed metal, technical death metal",46,360740,spotify:artist:5lhaM01nwvsMZpmPY2HVER
Left to Suffer,"american metalcore, deathcore, melodic metalcore",42,65122,spotify:artist:36d1uVy1ZuZWqfnsPxCUOk
Gideon,"alabama metal, american metalcore, christian metalcore, deathcore, melodic metalcore, metalcore",40,103798,spotify:artist:3Zj2B8yAi8gHoR8vpsPatZ
Mortician,"brutal death metal, deathgrind, goregrind, grindcore, new york death metal",42,111059,spotify:artist:34PPy9Ut9m8qB8BnmCiVmO
Signs of the Swarm,"deathcore, melodic metalcore, pittsburgh metal, progressive deathcore, slamming deathcore",42,114162,spotify:artist:0yxJx8OEyDfd7dzLsFuNrS
Sylosis,"groove metal, melodic death metal, melodic metalcore",45,126788,spotify:artist:2RiGIRDi4GoJpDbjDnPVJl
Bodysnatcher,"deathcore, downtempo deathcore, melodic metalcore, metallic hardcore, progressive deathcore",40,77584,spotify:artist:2tCl0ipvwJJRJLAuIGf6tm
Carnifex,"blackened deathcore, deathcore, melodic metalcore, metalcore, symphonic deathcore",42,236582,spotify:artist:4nqY8hkQNkHaDq4fdVxdYr
PeelingFlesh,slam death metal,39,21925,spotify:artist:40DbKvYvADTiks7hZIUPHG
Kataklysm,"brutal death metal, canadian metal, death metal, groove metal, melodic death metal, metal, quebec death metal, technical melodic death metal, viking metal",45,163754,spotify:artist:7kozeGeawfP7IEEL6dddrM
Obituary,"death metal, florida death metal, groove metal, metal",44,455884,spotify:artist:0SbGI4sb8dAKFZnK7RFyhz
Suffocation,"black metal, brutal death metal, death metal, metal, new york death metal, technical death metal",42,220442,spotify:artist:4ItRDIouodpnW6nm4TYDk1
Job For A Cowboy,"deathcore, melodic metalcore, metalcore",39,227013,spotify:artist:5L3QTPofDwMPGlNnQkyHK1
Infant Annihilator,"comic metal, deathcore",42,247119,spotify:artist:6eSSPyqys0J4j0kdi3hFrR
Insomnium,"finnish death metal, finnish melodeath, finnish metal, melodic death metal",47,248382,spotify:artist:3uIgLG971oRM5fe6v8lvQS
Sanguisugabogg,cavernous death metal,38,55961,spotify:artist:0n98EIfTSiyxUZHUojHykN
Morbid Angel,"black metal, brutal death metal, death metal, deathgrind, florida death metal, metal, speed metal",43,399574,spotify:artist:35jmO5o3AhUV70kiR7u4Nw
Rings of Saturn,"cosmic death metal, deathcore, melodic metalcore, technical deathcore",39,208419,spotify:artist:67Zm35qXdPzYfl1c3M0toJ
Dark Tranquillity,"death metal, gothenburg metal, melodic death metal, metal, swedish death metal, swedish melodeath, swedish metal, symphonic metal, viking metal",46,347153,spotify:artist:5EHvXKnNz78jkAVgTQLQ5O
Deicide,"black metal, brutal death metal, death metal, florida death metal, metal, technical death metal",43,370618,spotify:artist:2K3GorTixXKAiwe2t9lO89
Equilibrium,"folk metal, german metal, german pagan metal, melodic death metal, power metal, symphonic metal, viking metal",46,172929,spotify:artist:5KvkOKroKLz202ioXfGWR2
Archspire,"brutal death metal, canadian death metal, canadian metal, technical death metal, vancouver metal",40,136565,spotify:artist:7F9ZL4TJNr8AoU0UUQX8ih
All Shall Perish,"deathcore, melodic deathcore, melodic metalcore, metalcore",39,180089,spotify:artist:7GkGdNLPzWw4e6ctwKvI2x
Impending Doom,"christian deathcore, christian metal, deathcore, melodic metalcore",37,115652,spotify:artist:0sxW2BJTemkPy8tDeO1s0t
Bolt Thrower,"british death metal, brutal death metal, death metal, deathgrind, metal, technical death metal",41,197647,spotify:artist:3EbMlZ7ZKmFWPTHrLzpzvs
Napalm Death,"birmingham metal, british death metal, british grindcore, death metal, deathgrind, grindcore, groove metal, metal",43,334400,spotify:artist:3UqRgrDIQ208yNGiWKRMNt
Humanity's Last Breath,"brutal deathcore, deathcore, djent, melodic metalcore, symphonic deathcore, thall",41,82627,spotify:artist:7nKz8GVqHk0bUGmBm6wm3E
At The Gates,"death metal, gothenburg metal, melodic death metal, metal, swedish death metal, swedish melodeath, swedish metal, thrash metal",42,230280,spotify:artist:6YXarbjg36ODFPez0PnOlD
Texas In July,"christian metalcore, deathcore, melodic metalcore, metalcore",37,121482,spotify:artist:3J5OtMrtDAw0IcanJR28Ya
Sodom,"black thrash, death metal, deathrash, german metal, german thrash metal, metal, old school thrash, speed metal, thrash metal",44,430986,spotify:artist:6SYbLA9utoNsllunR1TnkM
Full Of Hell,"american grindcore, chaotic hardcore, dissonant death metal, drone metal, grindcore, noisecore, post-doom metal, post-metal, powerviolence, sludge metal",37,76707,spotify:artist:1i5rlthy5CmAYWaFOB0jhz
Darkthrone,"black 'n' roll, black metal, blackened crust, metal, norwegian black metal, norwegian death metal, norwegian metal",42,350513,spotify:artist:7kWnE981vITXDnAD2cZmCV
Entombed,"black metal, brutal death metal, death 'n' roll, death metal, deathgrind, metal, swedish death metal, swedish metal, technical death metal",42,213282,spotify:artist:2pnezMcaiTHfGmgmGQjLsB
Carcosa,"deathcore, melodic metalcore",38,44574,spotify:artist:2bhtSpyMNiPZJlkisy4T9G
200 Stab Wounds,cavernous death metal,36,41422,spotify:artist:6DH6xC3RoN7L7sGlJ60LKv
